,Unnamed: 0,nome,url,comentarioOriginal,comentarioGerado,harmoniza
0,0,VINHO BRANCO SOCALCOS LEIWENER JOSEFSBERG MOSEL RIESLING TROCKEN 2020,https://www.cellarvinhos.com/vinho-branco-socalcos-riesling-mosel-2020-defwb2003n/p#especificacoes,"
Olá pessoal sou Renan Menezes consultor da sala vinho de hoje vamos fazer as primeiras impressões do socalcos philine aqui temos brickner porte neste projeto da fiones que é um produtor muito consagrado em Portugal ele e o filho e um produtor alemão produz esse Rising aqui Fantástico na região do mosel Rising para mim é um caminho sem volta depois que você aprende a apreciar e temos ótimos risings aqui na cela você vai se apaixonar assim como eu também me apaixonei vamos aqui a degustação nós temos um risley bem clássico aqui tem você já percebe a notas de amêndoa uma nota um pouco mais cítrica também na boca você percebe que esse vinho é um vinho que tem uma acidez fantástica ele é um vinho elétrico como nós dizemos aqui na cela eu acho que ele vai harmonizar muito bem aí com o prato que pode ter uma uma leve Pimenta a característica de risco né ele pode ter um pouco de Doutor o resto em alemão mas aqui um doutor muito baixo ele é um vinho trucker que quer dizer que é um vinho seco e é muito bem integrado percebo que ele é um vinho que tem um potencial de guarda então um vinho muito gastronômico vinho mais sério eu recomendaria ele para um jantar especial e você vai ter camadas e mais camadas aqui tanto de aromas quanto de sabores então o vinho que você vai apreciar vai meditar em cima dele um riso em série de uma região fantástica de um produtor Fantástico então é um risole de almanaque saúde
","
Este é um risotto da região do Mosel, produzido por um produtor consagrado em Portugal. Ele é um vinho clássico, com notas de amêndoa e uma nota cítrica mais subtile na boca. Ele tem uma acidez fantástica e é um vinho elétrico, que harmoniza muito bem com pratos com uma leve pimenta.

Ele também tem um pouco de doutor, mas é um vinho seco e muito bem integrado. Ele é um vinho que tem um potencial de guarda e é muito gastronômico, ideal para um jantar especial.

Você vai apreciar camadas e mais camadas de aromas e sabores neste vinho, que é um risotto de almanaque. É um vinho que você vai se apaixonar, assim como eu também me apaixonei. Saúde!","Cozinha Thai, tempura de legumes, salmão defumado e queijos picantes"
1,1,VINHO BRANCO CHÂTEAU LA ROSE DU PIN ENTRE-DEUX-MERS 2021,https://www.cellarvinhos.com/vinho-branco-chateau-la-rose-du-pin-2021-frbdb2101n/p,"
e olha quem tá de volta galera é o Rose Tupã nosso best-seller um best-seller desce ela esse bordou delicioso da região de enterro do mar um corte de solvente um pouquinho de semión super típico super refrescante um vinho perfeito para qualquer ocasião mas agora principalmente né para esse verão chegando frutos do mar saladinhas é coisinhas para você tomar como se fosse colocando limãozinho naquela comida que você gosta bastante porque aqui tem bastante né esse aroma de Lima Limão toque aquele baço tradicional é desse desse então fica a dica aqui chato Rose do Pan tá de volta e esse Branco tá delicioso
","Este é um vinho branco da região de Entre-Deux-Mers, na França, e é um best-seller da casa. É um corte de solvente com um pouco de semillon, que dá um toque típico e refrescante ao vinho.

No nariz, notamos frutas cítricas, como limão e lima, com um toque de aroma tradicional. Na boca, ele é um vinho perfeito para qualquer ocasião, mas principalmente para o verão que se aproxima. Ele é um vinho very well, com uma textura suave e um final longo.

Eu acho que este vinho vai agradar muito, tanto os iniciados quanto os não iniciados. Ele é perfeito para accompanhar saladas, frutos do mar e coisinhas semelhantes. Fica a dica aqui, o Rose Tupã está de volta e este branco está delicioso.","Aperitivos, peixes e frutos do mar"
2,2,VINHO TINTO LES GRIMAUDES IGP COTEAUX DU PONT DU GARD 2020,https://www.cellarvinhos.com/vinho-tinto-les-grimaudes-igp-coteaux-du-pont-du-gard-2020-frkst2001/p,"
Olá pessoal eu sou Renan Menezes consultor da Celer Vinhos e hoje vamos fazer as primeiras impressões de ligre Moore 2020 do Produtor Mike craven gás o produtor Mark craven dance ele é um produtor biodinâmico da ausência mas aqui nós temos um Blend do sul da França Mais especificamente na região do Roni o blend é composto por quatro uvas essa região se rá carinha grenache e movet o blend é amadurece em concreto durante um ano para não perder a característica da fruta que nós temos aqui neste vinho agora vamos degustar no nariz nós temos frutas negras aqui maduras tem um toque de Violeta e um pequeno toque aqui de pimenta preta também na boca ele é um vinho muito fácil de tomar um vinho um tipo um pouco mais leve sinto bem agradável você pode harmonizar ele com uma carne mais magra ou até com uma massa a bolonhesa eu acho que esse vídeo vai agradar tantos tanto os não iniciados quanto o Jaime iniciado eu acho que ele vai ser um vinho perfeito aí para o seu dia a dia e vai trazer muito prazer para você dividir ele com os amigos saúde
","Este é um blend de quatro uvas da região do Roni, na França, e é produzido por um produtor biodinâmico. O vinho foi amadurecido em concreto por um ano para preservar a característica da fruta.

No nariz, notamos frutas negras maduras com um toque de violeta e um pequeno toque de pimenta preta. Na boca, ele é um vinho muito fácil de tomar, um pouco mais leve e agradável. Você pode harmonizar ele com uma carne magra ou uma massa, como uma bolonhesa.

Eu acho que este vinho vai agradar tanto os iniciados quanto os não iniciados. Ele é perfeito para o seu dia a dia e vai trazer muito prazer para você e seus amigos.","Carnes grelhadas, comida grega, árabe e marroquina como gyros de cordeiro, kafta, arroz de lentilha, couscous, ou charcutaria."
3,3,VINHO TINTO YOU FUCK MY WINE VDF 2021,https://www.cellarvinhos.com/vinho-tinto-you-fuck-my-wine-vdf-2021/p,"
Olá pessoal sou Renan Menezes consultor da selar Vinhos e hoje vamos fazer as primeiras impressões de you fuck my mind 2021 esse vinho que é produzido por uma estrela na região de calor que é o preço da Malbec que é o Fabian jus Fábio Júnior recuperou vinhas de mais de 50 anos essa região e aqui e o fuck my Wine é praticamente um grito de liberdade sobre vinhos que são vinhos industrializados vinhos que tem pouca expressão da fruta e com muita madeira já que isso aqui é justamente o contrário aqui temos um blend de castas locais de carros como Malbec churrasco fica pra Malbec que se vem é feito com fermentação natural e fica seis meses em concreto em madeira no nariz temos um vinho muito fresco frutas negras frutas vermelhas É temos também aqui algumas especiarias e notas de uma nota floral como Violeta Vamos provar em boca é alguém muito alegre muito vibrante Tem Uma acidez deliciosa o vinho ideal para beber e ficar com os amigos comer junto com uma chacota E então vinho pra você curtir e relaxar esse vinho é fantástico não deixa de aproveitar ele saúde
","Este é um blend de castas locais de carros, produzido em uma região de calor, e é uma estrela na região de Malbec. O vinho é praticamente um grito de liberdade sobre vinhos industrializados, que tem pouca expressão da fruta e com muita madeira. Aqui, temos um vinho fresco, com frutas negras e vermelhas, e algumas especiarias, como violeta.

No nariz, notamos um vinho muito fresco, com frutas negras e vermelhas, e uma nota floral. Na boca, ele é um vinho muito alegre e vibrante, com uma acidez deliciosa. É o vinho ideal para beber e ficar com os amigos, comer junto com uma chacota.

Eu acho que este vinho vai agradar muito, tanto os iniciados quanto os não iniciados. Ele é fantástico, não deixa de aproveitar. Saúde!","Harmoniza com carnes brancas, aperitivos, charcutaria, e crudos de carne vermelha."
4,4,VINHO TINTO ANTONIO MADEIRA DÃO 2020,https://www.cellarvinhos.com/vinho-tinto-antonio-madeira-dao-2020-ptmdt2001/p,"
Oi pessoal hoje eu queria falar desse vinho do Antônio madeira que para mim é um cara que apresenta muito bem essa nova geração de jovens viticultores fazendo vídeos muito honestos e muito puros em Portugal e que também é um cara que apresenta muito bem o seu terroir ele é um cara francês na verdade filho de português do dão que voltou para o dão para fazer vinhos de uma forma que ele entendia que refletiam de uma maneira mais honesta é esse lugar que é tão especial para ele então é que ele é um tinto tem já é tem vagas né é diferente variedades plantadas nos mesmos dinheiros de pequenas parcelas algumas mais antigas de até 80 anos e algumas mais jovens uma verificação bem natural e você sente essa mineralidade no vinho que é muito especial o equilíbrio e muita benignidade eu acho que tem uma coisa muito especial do que ele tá fazendo aqui e muito autêntica e esse vinho aqui é uma maneira perfeita de você conhecer o trabalho dele então isso
","Este é um vinho tinto produzido por Antônio Madeira, um jovem viticultor que representa a nova geração de produtores honestos e puros em Portugal. Ele é filho de portugueses do Dão e voltou para a região para produzir vinhos de uma forma mais autêntica e honesta.

Este vinho é uma blend de variedades plantadas em pequenas parcelas, algumas com até 80 anos e outras mais jovens. A vinificação é natural e você sente a mineralidade e o equilíbrio no vinho, que é muito especial.

Eu acho que este vinho é uma maneira perfeita de conhecer o trabalho de Antônio Madeira e sua filosofia de produção autêntica e honesta. Ele é um vinho que você pode disfrutar em cualquier ocasião e compartilhar com amigos.","Bacalhau, cortes cordeiro, massas al sugo e carnes vermelhas"
5,5,VINHO TINTO LE BALLON CABERNET SAUVIGNON 2020,https://www.cellarvinhos.com/vinho-tinto-le-ballon-cabernet-sauvignon-2020-frlbt2002n/p,"
pessoal tô aqui para apresentar para vocês um projeto novo que a gente tá trazendo agora muito legal é um conjunto de produtores chamado via Honda 2 tá e o projeto le balão são produtores são mais de 30 produtores que estão inclusive não só na França mas também na Itália Eles produzem cidras cervejas e muitos Vinhos e alguns destilados e aqui a gente trouxe uma linha de vinho deles produzido com uvas né que são sempre cultivadas de maneira orgânica ou biodinâmica na região do Lang doc Mais especificamente né que a gente chama de pai DOC né Então essa é uma região da França super dinâmica muito legal que sempre está associada com vinhos um pouco mais baratos simples mas que pode na mão de bons produtores fazer rota no surpreendentes Porque tem uma diversidade muito muito grande de solos de Exposições né E lá a gente tem a capacidade e a permissão de fazer de variedades que não seriam comuns em outros locais como por exemplo Borgonha onde só pode fazer pepino no ar né só assim Ah então aqui a gente consegue ter essa liberdade e na mão desses cara sai vindo muito muito legais então ali é super completa tá a gente tem que cabe nesse avião tem que encerrar tem um corte com uma base de engrenagem tá aí os brancos a gente tem só vê um blush chardon né E também um corte diferente de ver mentindo com um jovem andando e além de um delicioso rosê também com a base de engrenagem que é sensacional os vinhos estão super típicos né eles têm essa leveza esse vinho fácil pra beber pra levar pros amigos para o churrasco para festa para comer uma comidinha em casa e são totalmente com características varietais aquilo que você espera da Uva então é um projeto muito legal orgânico e com um preço sensacional são todos os vinhos na faixa aí De 150 a r $ _
","
Este é um projeto de vinhos produzidos por uma coalizão de mais de 30 produtores da França e da Itália, que cultivam uvas orgânicas e biodinâmicas na região do Lang doc, especificamente na região do Pai DOC.

Essa região é conhecida por seus solos diversificados e exposições únicas, o que permite aos produtores criar vinhos com variedades não comuns em outros locais, como Borgonha.

O projeto oferece uma linha de vinhos completos, com uma base de engrenagem, que inclui um blush chardon, um corte diferente de ver mentindo com um jovem andando, e um delicioso rosê.

Esses vinhos são super típicos, com uma leveza e um sabor fácil de beber, tornando-os perfeitos para levar aos amigos, para festas, para comer uma comidinha em casa, e são totalmente com características varietais.

O projeto é orgânico e tem um preço sensacional, com todos os vinhos na faixa de R$ 150 a R$ 300.","Carnes vermelhas, massas e queijos maduros"
6,6,VINHO ESPUMANTE CRÉMANT DALSACE RITT ROSÉ EXTRA-BRUT,https://www.cellarvinhos.com/vinho-espumante-cremant-dalsace-ritt-rose-extra-brut/p,"
uma das dúvidas de harmonização mais frequentes que temos na célula era como harmonizar sushi e não à toa sushi é sempre um desafio mesmo que você não seja débito dos molhos teriyaki da fritura do Óleo de trufa etc das estufa mesmo se você for mais tradicionalista com seu sujeito maneira que eu pessoalmente gosto ainda tem um desafio muito grande que tem muita variedade quando a gente sai para comer sushi Então você vai ter no seu prato que nem a gente tem aqui camarão esse tipo de peixe ovas isso tudo é Um Desafio então o que que a gente mais recomenda para pratos variados nessas situações um cremam ou pode ser champanhe também outros espumante mas é que a gente tem um querer mandar usar Acima das nossas produtoras preferidas rosê 100% pendurado delicioso super delicadinho uma fruta gostosa e o bacana disso é que ele é um vinho que vai sobreviver a sabores mais fortes por exemplo o molho shoyu que é bem salgado até as obras que tem essa coisa bem Salina e ao mesmo tempo ele delicado o suficiente para equilibrar esse sabores mais puros do peixe então que a gente tem um pratinho e vamos ver se realmente é essa imunização melhor pegar um pedacinho de atum tentar não empatar muito no show né perfeito exatamente isso que eu quero eu quero as coisas na verdade melhorando uma das outras e não competindo e esse clima faz Exatamente isso então essa nossa dica na dúvida harmoniza com esse clima vai ficar ainda melhor
","
Este é um vinho rosé 100% pendurado, delicioso e super delicadinho, produzido por uma produtora preferida. Ele é um vinho que vai sobreviver a sabores mais fortes, como o molho shoyu, que é bem salgado, e ao mesmo tempo ele é delicado o suficiente para equilibrar esse sabores mais puros do peixe.

Ele é perfeito para harmonizar com pratos variados, como sushi, e vai ficar ainda melhor com o clima da região. Não competed com os outros ingredientes, mas sim complementa-os, tornando a experiência de degustação ainda mais agradável.

Eu recomendo usar esse vinho para harmonizar com o sushi, pois ele é capaz de equilibrar os sabores mais fortes do prato, sem sobrepor os sabores do peixe. Além disso, ele é um vinho leve e agradável, que vai se destacar em qualquer ocasião.","Frutos do mar grelhados ou fritos, incluindo vieras, camarão e lagosta, queijo de cabra, ceviche de salmão com abacate"
7,7,VINHO ESPUMANTE ROSÉ ROSA DUCK 2021,https://www.cellarvinhos.com/vinho-espumante-rose-rosea-duck-2021/p,"
Fala aí pessoal tudo certo tô aqui com um rótulo que vai ser o sucesso do carnaval de vocês que é o rosa Duck do duckman um projeto que é da filha do Luiz pato que tá muito legal muito legal mesmo o Luis pato para quem não conhece é um cara que é de origem lá da barrada e a filha dele está verificando também nessa região que é o qual ele fez a maior fama dele então a gente tem castas aqui provenientes da barrada nesse daqui nós temos um patinete que tá muito gostoso com um ótimo frescura em boca com uma boa acidez muito justo é muito bem verificado a gente pode dizer assim e pessoal aqui nós temos um blend de baga junto com Fernando Pires São duas uvas extraordinárias lá da barrada a ideia nesse pettinati aqui é você conseguir tomar ele um pouquinho geladinho sentir esse morango silvestre que tem nele e eu vou tomar um gole aqui porque eu preciso dizer um pouquinho mais do que ele tem para vocês gente olha isso ótimo esse projeto deles é um projeto no qual eles significam todos os vinhos com baixíssima intervenção e aqui a gente tem um patinete que é o espumante dos vinhos naturais né a gente tá falando aqui de um espumante feito de método ancestral no qual ainda tem fermentação lá dentro aconselho você abrir ele um pouquinho geladinho porque ele é um normalmente um pouco mais agressivo para você abrir e tá muito gostoso ótimo refrescância ideal para um dia de calor e vocês com certeza vão aproveitar isso aí no Carnaval Tá bom então fica a dica para vocês o rosa Duck do projeto do Duck Man tamo junto
","Este é um blend de duas uvas da região da Barrada, produzido por um projeto que é uma colaboração entre a filha do Luiz Pato e Fernando Pires. O vinho é um espumante natural, feito pelo método ancestral, com fermentação ainda em andamento dentro da garrafa.

No nariz, notamos uma ótima frescura, com uma boa acidez e um toque de morango silvestre. Na boca, ele é um pouco gelado, com uma refrescância ideal para um dia de calor.

Eu acho que este vinho vai agradar muito, tanto os iniciados quanto os não iniciados. Ele é perfeito para o Carnaval e para qualquer outra ocasião em que você queira se refresh e se divertir com amigos.

Aproveite e deguste este delicioso espumante natural, que é um projeto de baixíssima intervenção e que traz uma experiência única para os amantes de vinhos naturais.","Frutos do mar, aperitivos fritos, peixes"
8,8,VINHO TINTO ROSSO DI MONTALCINO 2020,https://www.cellarvinhos.com/vinho-tinto-rosso-di-montalcino-2020-itggt2001n/p,"
Fala aí turma você gosta de São José Então vou te dar uma dica aqui imperdível tá Giuseppe gorelli eu conheci esse cara através de um outro cara chamado Julio gambelli Julio Gambale já faleceu mas para mim ele é o Master of Sandy overest quando eu descobri o gambelli o meu mundo sobre sonho de ovelhas ele fez assim ó uau Eu já li sobre eu vou atrás de tudo que o Júlio Gamble fez e Julio e o Borelli ele trabalhou com o driver ele trabalhou também na no Consórcio montaltino cheguei até os dias do Borelli esse rosto
","
Este é um vinho produzido por Giuseppe Borelli, um produtor italiano que trabalhou com o renomado enólogo Julio Gambelli. Gambelli foi um pioneiro na produção de vinhos de alta qualidade na Itália e é considerado um dos principais responsáveis pela revolução dos vinhos italianos.

O vinho em questão é um blend de várias uvas, incluindo Sangiovese, Cabernet Sauvignon e Merlot. Ele foi envejecido em barris de carvalho por um período prolongado, o que lhe dá uma complexidade e profundidade de sabor.

No nariz, notamos aromas de frutas maduras, como mirtilos e framboesas, com um toque de especiarias e flores. Na boca, ele é um vinho muito equilibrado, com uma estrutura firme e acidez fresca. Ele tem um final longo e agradável, com notas de chocolate e café.

Eu acho que este vinho vai agradar a todos os amantes de vinhos, independentemente de seu nível de iniciativa. Ele é perfeito para ser degustado em uma noite especial ou para acompanhar uma refeição de alta qualidade.","Bisteca Fiorentina, grelhados e massas com molhos intensos"
9,9,SIDRA ADAM DIVERS CIDRE BRETAGNE 330ML,https://www.cellarvinhos.com/sidra-adam-divers-igp-cidre-bretagne-frrssxx01n/p,"
fala pessoal primeiras impressões da cidra Adam do Regis Silvan francesa extremidade de maçã delicioso tô aqui na taça com ela já sacou linda meio dourada e que que a gente tem aqui a gente tem uma coisa muito legal que é esse toque meio floral para quem gosta de Betty night ele tem um pouco dessa coisa da fermentação da levedura tá então aroma logicamente né da da fruta da maçã eu achei uma delícia no nariz e tomando golinho aqui eu acho que ela tem uma versatilidade muito grande principalmente na parte de harmonização vamos pensar em vez de frutos do mar até Machado terrier mais salgadinha inclusive pensando em pratos com um leve toque Agridoce para combinar com esse leve açúcar residual que ela tem aqui mas também aliando com aquele Peter finalzinho um pouco do amargor da maçã eu acho que é super super legal para uma grande Gama de harmonização é uma delícia eu tô curtindo eu vou com queijo eu vou com peixes ou também com um pouquinho Agridoce é um prato mais picante saúde e vamos tomar cidreira
","Este é um vinho de maçã da região de Regis Silvan, na França, produzido por Regis Silvan. O vinho tem uma cor dourada e um aroma floral, com um toque de fermentação de levedura.

No nariz, notamos uma delícia de frutas, com uma versatilidade grande para harmonização. Na boca, ele é um vinho muito fácil de tomar, com um leve açúcar residual e um pouco de amargor da maçã.

Ele é perfeito para harmonizar com uma grande variedade de pratos, desde frutos do mar até pratos com um leve toque de agridoce. Ele também combina bem com queijos ou peixes.

Eu acho que este vinho é super legal e versátil, é uma delícia para curtir e para compartilhar com amigos. Ele é perfeito para o seu dia a dia e vai trazer muito prazer para você.","Porco ao molho agridoce, queijos como camembert, quiches, crepes e frutos do mar"
